date,name,category,source
2026-01-07,Christmas Day,religious,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-01-19,Epiphany,religious,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-02-20,Ethiopian Martyrs' Day,memorial,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-03-02,Adwa Victory Day,national,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-03-20,Eid al-Fitr,religious,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-04-10,Good Friday,religious,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-04-12,Easter,religious,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-05-01,International Workers' Day,national,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-05-05,Ethiopian Patriots' Victory Day,national,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-05-27,Eid al-Adha,religious,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-08-26,Mawlid,religious,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-09-11,Ethiopian New Year,national,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-09-27,Meskel,religious,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
2026-12-09,Ethiopian National Unity Day,memorial,https://www.ffic.gov.et/Portals/0/1334-2016.pdf
