date,name,category,source
2026-01-14,Magh Bihu & Tusu Puja,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-01-15,Magh Bihu,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-01-23,Netaji's Birthday,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-01-26,Republic Day,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-01-27,Gwthar Bathou San,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-01-31,Me-Dam-Me-Phi,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-02-01,Bir Chilaray Divas,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-03-03,Dol Jatra,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-03-21,Id-Ul-Fitr,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-04-03,Good Friday,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-04-14,Bohag Bihu,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-04-15,Bohag Bihu,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-04-16,Bohag Bihu,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-04-18,Tithi of Damodar Deva,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-04-21,Sati Sadhini Divas,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-05-01,May Day & Budha Purnima,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-05-27,Id-ul-Zuha,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-06-01,Janmotsav of Sri Sri Madhabdeva,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-08-15,Independence Day,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-09-01,Tirubhav Tithi of Sri Sri Madhabdeva,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-09-04,Janmastomi,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-09-12,Tirubhav Tithi of Srimanta Sankardeva,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-09-21,Janmotsav of Srimanta Sankardeva,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-09-22,Karam Puja,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-10-02,Birthday of Mahatma Gandhi,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-10-18,Kati Bihu & Durga Puja,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-10-19,Durga Puja & Vijaya Dashomi,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-10-20,Durga Puja & Vijaya Dashomi,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-10-21,Durga Puja & Vijaya Dashomi,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-11-08,Kali Puja & Diwali,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-11-11,Bhatri Dwitiya,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-11-15,Chhath Puja,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-11-24,Guru Nanak's Birthday & Lachit Divas,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-12-02,Asom Divas (Su-Ka-Pha Divas),public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
2026-12-25,Christmas Day,public,https://gad.assam.gov.in/sites/default/files/public_utility/Holiday%20List%20%2C%202026.pdf
