date,name,category,source
2026-01-26,Republic Day,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-02-15,Mahashivratri,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-02-19,Chhatrapati Shivaji Maharaj Jayanti,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-03-03,Holi (Second Day),public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-03-19,Gudhi Padwa,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-03-21,Ramzan-Id (Id-Ul-Fitra) (Shawal-1),public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-03-26,Ram Navami,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-03-31,Mahavir Janmakalyanak,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-04-03,Good Friday,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-04-14,Dr. Babasaheb Ambedkar Jayanti,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-05-01,Maharashtra Din,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-05-01,Buddha Pournima,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-05-28,Bakri Id (Id-Uz-Zuha),public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-06-26,Moharum,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-08-15,Independence Day,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-08-15,Parsi New Year (Shahenshahi),public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-08-26,Id-E-Milad,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-09-14,Ganesh Chaturthi,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-10-02,Mahatma Gandhi Jayanti,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-10-20,Dasara,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-11-08,Diwali Amavasya (Laxmi Pujan),public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-11-10,Diwali (Bali Pratipada),public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-11-24,Guru Nanak Jayanti,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
2026-12-25,Christmas,public,https://mmrda.maharashtra.gov.in/en/public-holidays#gsc.tab=0
