date,name,category,source
2026-01-26,Republic Day,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-03-04,Holi,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-03-19,Gudi Padwa,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-03-20,Chetrichand,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-03-26,Ram Navami,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-03-31,Mahavir Jayanti,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-04-03,Good Friday,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-04-14,Dr. Ambedkar Jayanti and Baisakhi,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-04-20,Parshuram Jayanti,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-05-01,Buddha Purnima,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-05-27,Eid-ul-Zuha,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-06-17,Maharana Pratap Jayanti and Chhatrasal Jayanti,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-06-26,Muharram,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-08-26,Milad-un-Nabi,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-09-04,Krishna Janmashtami,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-09-14,Ganesh Chaturthi,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-10-02,Gandhi Jayanti,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-10-20,Vijayadashami,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-11-08,Diwali,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-11-09,Govardhan Puja,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-11-24,Guru Nanak Jayanti,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
2026-12-25,Christmas,public,https://www.diary.mp.gov.in/Home/GovermentHoliday
