date,name,category,source
2026-01-26,Republic Day,public,https://www.india.gov.in/calendar
2026-02-15,Maha Shivratri,public,https://www.india.gov.in/calendar
2026-03-04,Holi,public,https://www.india.gov.in/calendar
2026-03-21,Id-ul-Fitr,public,https://www.india.gov.in/calendar
2026-03-26,Ram Navami,public,https://www.india.gov.in/calendar
2026-03-31,Mahavir Jayanti,public,https://www.india.gov.in/calendar
2026-04-03,Good Friday,public,https://www.india.gov.in/calendar
2026-04-14,Dr. Ambedkar Jayanti,public,https://www.india.gov.in/calendar
2026-05-01,Buddha Purnima,public,https://www.india.gov.in/calendar
2026-05-27,Id-ul-Zuha (Bakrid),public,https://www.india.gov.in/calendar
2026-06-26,Muharram,public,https://www.india.gov.in/calendar
2026-08-15,Independence Day,public,https://www.india.gov.in/calendar
2026-08-26,Milad-un-Nabi or Id-e-Milad,public,https://www.india.gov.in/calendar
2026-09-04,Janmashtami (Vaishnava),public,https://www.india.gov.in/calendar
2026-10-02,Mahatma Gandhi's Birthday,public,https://www.india.gov.in/calendar
2026-10-20,Dussehra,public,https://www.india.gov.in/calendar
2026-11-08,Diwali (Deepavali),public,https://www.india.gov.in/calendar
2026-11-24,Guru Nanak's Birthday,public,https://www.india.gov.in/calendar
2026-12-25,Christmas Day,public,https://www.india.gov.in/calendar
